,title,year,runtime,genre,average rating,total votes,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
2656,Recess: School's Out,,,,,,16-Feb-2001,10000000,36696761,7754709,44451470,34451470,,,
2657,Friday the 13th Part 3,,,,,,13-Aug-1982,2250000,36690067,0,36690067,34440067,,,
2658,Colombiana,,,,,,26-Aug-2011,40000000,36665854,35629408,72295262,32295262,,,
2659,Vampires Suck,,,,,,18-Aug-2010,20000000,36661504,44763484,81424988,61424988,,,
2660,Freedom Writers,,,,,,05-Jan-2007,21000000,36605602,7027007,43632609,22632609,,,
2661,Million Dollar Arm,2014,,,6.8,353,16-May-2014,,36500000,2800000,39300000,39300000,BV,en,7.771
2662,Million Dollar Arm,,,,,,16-May-2014,25000000,36447959,2769953,39217912,14217912,,,
2663,8MM,,,,,,26-Feb-1999,40000000,36443442,59955384,96398826,56398826,,,
2664,The Thin Red Line,,,,,,23-Dec-1998,52000000,36400491,61308543,97709034,45709034,,,
2665,Sucker Punch,2011,,,6,2716,25-Mar-2011,,36400000,53400000,89800000,89800000,WB,en,14.416
2666,Sucker Punch,,,,,,25-Mar-2011,75000000,36392502,53365887,89758389,14758389,,,
2667,Beauty Shop,,,,,,01-Jan-2004,25000000,36351350,2000000,38351350,13351350,,,
2668,The Commuter,,,,,,12-Jan-2018,40000000,36343858,65641573,101985431,61985431,,,
2669,Death Race,,,,,,22-Aug-2008,65000000,36316032,36200787,72516819,7516819,,,
2670,The Nice Guys,2016,,,7.1,4272,20-May-2016,,36300000,26500000,62800000,62800000,WB,en,13.743
2671,The 15:17 to Paris,2018,,,5.3,799,09-Feb-2018,,36300000,20800000,57100000,57100000,WB,en,11.576
2672,The Commuter,2018,,,6.2,2394,12-Jan-2018,,36300000,83600000,119900000,119900000,LGF,en,20.063
2673,Alive,,,,,,15-Jan-1993,32000000,36299670,0,36299670,4299670,,,
2674,The Sentinel,,,,,,21-Apr-2006,60000000,36280697,41800000,78080697,18080697,,,
2675,The 15:17 to Paris,,,,,,09-Feb-2018,30000000,36276286,19819914,56096200,26096200,,,
2676,The Nice Guys,,,,,,20-May-2016,50000000,36261763,23334984,59596747,9596747,,,
2677,American Assassin,,,,,,15-Sep-2017,63000000,36249674,32060466,68310140,5310140,,,
2678,Mad Max Beyond Thunderdome,,,,,,10-Jul-1985,10000000,36230219,0,36230219,26230219,,,
2679,American Assassin,2017,,,6.3,1596,15-Sep-2017,,36200000,31000000,67200000,67200000,LGF,en,15.434
2680,Silent Movie,,,,,,25-Jun-1976,4400000,36145695,0,36145695,31745695,,,
2681,Mile 22,,,,,,17-Aug-2018,35000000,36108758,30186363,66295121,31295121,,,
2682,Mile 22,2018,,,6,920,17-Aug-2018,,36100000,30200000,66300000,66300000,STX,en,21.246
2683,Walking with Dinosaurs,2013,,,5.4,210,20-Dec-2013,,36100000,90500000,126600000,126600000,Fox,en,10.56
2684,Walking with Dinosaurs,,,,,,20-Dec-2013,80000000,36076121,87292721,123368842,43368842,,,
2685,MA,,,,,,31-May-2019,5000000,36049540,8251085,44300625,39300625,,,
2686,Set It Off,,,,,,06-Nov-1996,9000000,36049108,0,36049108,27049108,,,
2687,Hanging Up,,,,,,18-Feb-2000,40000000,36037909,15829814,51867723,11867723,,,
2688,Derailed,,,,,,11-Nov-2005,22000000,36020063,21500000,57520063,35520063,,,
2689,The Boy Next Door,,,,,,23-Jan-2015,4000000,36006065,17395873,53401938,49401938,,,
2690,The Robe,,,,,,16-Sep-2053,5000000,36000000,8303,36008303,31008303,,,
2691,The Greatest Show on Earth,,,,,,10-Jan-2052,4000000,36000000,0,36000000,32000000,,,
2692,Peteâs Dragon,,,,,,03-Nov-1977,10000000,36000000,0,36000000,26000000,,,
2693,What a Girl Wants,,,,,,04-Apr-2003,25000000,35990505,0,35990505,10990505,,,
2694,In the Bedroom,,,,,,23-Nov-2001,1700000,35930604,6207267,42137871,40437871,,,
2695,Mortal Kombat: Annihilation,,,,,,21-Nov-1997,30000000,35927406,15400000,51327406,21327406,,,
2696,Alpha,2018,,,7,1,25-Jan-2015,,35900000,62300000,98200000,98200000,Studio 8,el,0.84
2697,Alpha,2018,,,5.9,1167,17-Aug-2018,,35900000,62300000,98200000,98200000,Studio 8,en,24.536
2698,The Theory of Everything,2014,,,7.9,6412,26-Nov-2014,,35900000,87800000,123700000,123700000,Focus,en,13.866
2699,The Theory of Everything,,,,,,07-Nov-2014,15000000,35893537,87434155,123327692,108327692,,,
2700,Taps,,,,,,09-Dec-1981,14000000,35856053,0,35856053,21856053,,,
2701,Alpha,,,,,,17-Aug-2018,51000000,35851379,63773494,99624873,48624873,,,
2702,The Black Hole,,,,,,21-Dec-1979,20000000,35841901,0,35841901,15841901,,,
2703,The Boy,,,,,,22-Jan-2016,10000000,35819556,32401396,68220952,58220952,,,
2704,The Island,,,,,,22-Jul-2005,120000000,35818913,127200000,163018913,43018913,,,
2705,Shine,,,,,,22-Nov-1996,5500000,35811509,860984,36672493,31172493,,,
2706,Trouble with the Curve,2012,,,6.7,613,21-Sep-2012,,35800000,13200000,49000000,49000000,WB,en,8.548
2707,Trouble with the Curve,,,,,,21-Sep-2012,60000000,35763137,12055776,47818913,-12181087,,,
2708,Changeling,,,,,,24-Oct-2008,55000000,35739802,78065778,113805580,58805580,,,
2709,Smokin' Aces,,,,,,26-Jan-2007,17000000,35662731,21600709,57263440,40263440,,,
2710,The Indian in the Cupboard,,,,,,14-Jul-1995,45000000,35627222,0,35627222,-9372778,,,
2711,Jeepers Creepers II,,,,,,29-Aug-2003,25000000,35623801,84300000,119923801,94923801,,,
2712,Larry Crowne,,,,,,01-Jul-2011,30000000,35608245,25840890,61449135,31449135,,,
2713,The American,,,,,,01-Sep-2010,20000000,35606376,32344347,67950723,47950723,,,
2714,Dirty Grandpa,2016,,,5.8,2667,22-Jan-2016,,35600000,58500000,94100000,94100000,LGF,en,11.432
2715,Larry Crowne,2011,,,5.8,676,30-Jun-2011,,35600000,36400000,72000000,72000000,Uni.,en,7.261
2716,The American,2010,,,5.8,690,01-Sep-2010,,35600000,32299999,67899999,67899999,Focus,en,9.042
2717,Dirty Grandpa,,,,,,22-Jan-2016,11500000,35593113,69485336,105078449,93578449,,,
2718,Children of Men,,,,,,25-Dec-2006,76000000,35552383,34292628,69845011,-6154989,,,
2719,Green Zone,,,,,,12-Mar-2010,100000000,35497337,62025683,97523020,-2476980,,,
2720,Selena,,,,,,21-Mar-1997,20000000,35450113,0,35450113,15450113,,,
2721,Peppermint,,,,,,07-Sep-2018,25000000,35418723,16382035,51800758,26800758,,,
2722,The Watch,2012,,,5.4,1356,27-Jul-2012,,35400000,32900000,68300000,68300000,Fox,en,10.228
2723,Peppermint,2018,,,6.5,716,07-Sep-2018,,35400000,18400000,53800000,53800000,STX,en,32.476
2724,The Boy Next Door,2015,,,5.7,6,14-Nov-2008,,35400000,17000000,52400000,52400000,Uni.,en,0.6
2725,The Boy Next Door,2015,,,4.4,1382,23-Jan-2015,,35400000,17000000,52400000,52400000,Uni.,en,7.062
2726,Live and Let Die,,,,,,27-Jun-1973,7000000,35400000,126400000,161800000,154800000,,,
2727,The Messengers,,,,,,02-Feb-2007,16000000,35374833,18400000,53774833,37774833,,,
2728,Intolerable Cruelty,,,,,,10-Oct-2003,60000000,35327628,86000000,121327628,61327628,,,
2729,Money Train,,,,,,22-Nov-1995,68000000,35324232,41900000,77224232,9224232,,,
2730,Frankenweenie,2012,,,6.8,1685,05-Oct-2012,,35300000,46200000,81500000,81500000,BV,en,14.627
2731,Frankenweenie,,,,,,05-Oct-2012,39000000,35287788,45863000,81150788,42150788,,,
2732,Carrie,,,,,,18-Oct-2013,30000000,35266619,47142901,82409520,52409520,,,
2733,The Flintstones in Viva Rock Vegas,,,,,,28-Apr-2000,58000000,35231365,24200000,59431365,1431365,,,
2734,The Mothman Prophecies,,,,,,25-Jan-2002,42000000,35228696,21209859,56438555,14438555,,,
2735,The Number 23,,,,,,23-Feb-2007,32000000,35193167,42400000,77593167,45593167,,,
2736,For Love of the Game,,,,,,17-Sep-1999,50000000,35188640,10924000,46112640,-3887360,,,
2737,K-19: The Widowmaker,,,,,,19-Jul-2002,90000000,35168966,30547160,65716126,-24283874,,,
2738,Star Wars: The Clone Wars,,,,,,15-Aug-2008,8500000,35161554,33533889,68695443,60195443,,,
2739,Ouija: Origin of Evil,,,,,,21-Oct-2016,9000000,35144505,46687361,81831866,72831866,,,
2740,Green Zone,2010,,,6.4,1176,11-Mar-2010,,35100000,59800000,94900000,94900000,Uni.,en,11.519
2741,Ouija: Origin of Evil,2016,,,6,1416,21-Oct-2016,,35100000,46600000,81700000,81700000,Uni.,en,11.823
2742,Ouija: Origin of Evil,2016,,,6,1416,21-Oct-2016,,35100000,46600000,81700000,81700000,Uni.,en,11.823
2743,Step Up Revolution,2012,,,6.8,1252,27-Jul-2012,,35100000,105400000,140500000,140500000,LG/S,en,10.925
2744,Pan,2015,,,5.9,1701,09-Oct-2015,,35100000,93300000,128400000,128400000,WB,en,13.054
2745,The Intruder,,,,,,03-May-2019,8000000,35095904,909967,36005871,28005871,,,
2746,Deck the Halls,,,,,,22-Nov-2006,51000000,35093569,11722238,46815807,-4184193,,,
2747,Pan,,,,,,09-Oct-2015,150000000,35088320,116437653,151525973,1525973,,,
2748,Step Up Revolution,,,,,,27-Jul-2012,33000000,35074677,130477613,165552290,132552290,,,
2749,Commando,,,,,,04-Oct-1985,10000000,35073978,0,35073978,25073978,,,
2750,A Very Harold & Kumar 3D Christmas,,,,,,04-Nov-2011,20000000,35061031,1204714,36265745,16265745,,,
2751,Drive,,,,,,16-Sep-2011,15000000,35060689,46297241,81357930,66357930,,,
2752,Tyler Perry's Good Deeds,,,,,,24-Feb-2012,14000000,35025791,553386,35579177,21579177,,,
2753,Good Luck Chuck,,,,,,21-Sep-2007,25000000,35017297,24166524,59183821,34183821,,,
2754,50/50,,,,,,30-Sep-2011,8000000,35016118,6318617,41334735,33334735,,,
2755,The Skulls,,,,,,31-Mar-2000,15000000,35007180,0,35007180,20007180,,,
2756,50/50,2011,,,7.1,2111,30-Sep-2011,,35000000,4200000,39200000,39200000,Sum.,en,12.451
2757,The 5th Wave,,,,,,22-Jan-2016,38000000,34912982,76423416,111336398,73336398,,,
2758,The 5th Wave,2016,,,5.8,3657,15-Jan-2016,,34900000,75000000,109900000,109900000,Sony,en,12.967
2759,A Thin Line Between Love & Hate,,,,,,03-Apr-1996,8000000,34873513,0,34873513,26873513,,,
2760,Freddyâs Dead: The Final Nightmare,,,,,,13-Sep-1991,5000000,34872033,0,34872033,29872033,,,
2761,Take the Lead,,,,,,07-Apr-2006,30000000,34742066,30648427,65390493,35390493,,,
2762,White Fang,,,,,,18-Jan-1991,14000000,34729091,0,34729091,20729091,,,
2763,Dangerous Liaisons,,,,,,21-Dec-1988,14000000,34700000,0,34700000,20700000,,,
2764,Judge Dredd,,,,,,30-Jun-1995,85000000,34687912,78800000,113487912,28487912,,,
2765,Licence to Kill,,,,,,14-Jul-1989,42000000,34667015,121500000,156167015,114167015,,,
2766,Cradle 2 the Grave,,,,,,28-Feb-2003,25000000,34657731,21777211,56434942,31434942,,,
2767,Jack Frost,,,,,,11-Dec-1998,50000000,34645374,0,34645374,-15354626,,,
2768,Hostage,,,,,,11-Mar-2005,75000000,34636443,43000000,77636443,2636443,,,
2769,Hot Pursuit,2015,,,5.6,1000,08-May-2015,,34600000,17100000,51700000,51700000,WB (NL),en,9.607
2770,Man on the Moon,,,,,,22-Dec-1999,52000000,34580635,12827000,47407635,-4592365,,,
2771,Hot Pursuit,,,,,,08-May-2015,35000000,34580201,11091311,45671512,10671512,,,
2772,Thirteen Days,,,,,,22-Dec-2000,80000000,34566746,31987801,66554547,-13445453,,,
2773,Hawaii,,,,,,10-Oct-66,15000000,34562222,0,34562222,19562222,,,
2774,The 6th Day,,,,,,17-Nov-2000,82000000,34543701,61481197,96024898,14024898,,,
2775,Concussion,,,,,,25-Dec-2015,35000000,34531832,15831958,50363790,15363790,,,
2776,Courageous,,,,,,30-Sep-2011,2000000,34522221,663663,35185884,33185884,,,
2777,Woodstock,,,,,,26-Mar-2070,600000,34505110,0,34505110,33905110,,,
2778,Courageous,2011,,,7,128,30-Sep-2011,,34500000,,34500000,34500000,TriS,en,7.406
2779,Monster,,,,,,24-Dec-2003,5000000,34469210,29771603,64240813,59240813,,,
2780,The Doors,,,,,,01-Mar-1991,40000000,34416893,0,34416893,-5583107,,,
2781,The Favourite,2018,,,7.7,2096,23-Nov-2018,,34400000,61600000,96000000,96000000,FoxS,en,28.651
2782,The Foreigner,2017,,,6.7,1086,13-Oct-2017,,34400000,111000000,145400000,145400000,STX,en,14.616
2783,The Foreigner,2017,,,6.7,1086,13-Oct-2017,,34400000,111000000,145400000,145400000,STX,en,14.616
2784,The Foreigner,,,,,,13-Oct-2017,35000000,34393507,106389853,140783360,105783360,,,
2785,The Favourite,,,,,,23-Nov-2018,15000000,34366783,59747146,94113929,79113929,,,
2786,Eternal Sunshine of the Spotless Mind,,,,,,19-Mar-2004,20000000,34366518,38204244,72570762,52570762,,,
2787,The Watch,,,,,,27-Jul-2012,55000000,34353000,32777045,67130045,12130045,,,
2788,Inferno,,,,,,28-Oct-2016,75000000,34343574,185175793,219519367,144519367,,,
2789,Texas Chainsaw 3D,,,,,,04-Jan-2013,20000000,34341945,13324068,47666013,27666013,,,
2790,Malibu's Most Wanted,,,,,,18-Apr-2003,15000000,34308901,190303,34499204,19499204,,,
2791,Babel,,,,,,27-Oct-2006,20000000,34302837,97818375,132121212,112121212,,,
2792,Texas Chainsaw 3D,2013,,,5.3,780,04-Jan-2013,,34300000,12900000,47200000,47200000,LGF,en,18.256
2793,Inferno,2016,,,5.9,3877,28-Oct-2016,,34300000,185700000,220000000,220000000,Sony,en,17.41
2794,Inferno,2016,,,5.9,3877,28-Oct-2016,,34300000,185700000,220000000,220000000,Sony,en,17.41
2795,Alexander,,,,,,24-Nov-2004,155000000,34297191,133000000,167297191,12297191,,,
2796,This is Where I Leave You,,,,,,19-Sep-2014,20000000,34296320,7000000,41296320,21296320,,,
2797,The Hunted,,,,,,14-Mar-2003,55000000,34234008,12979087,47213095,-7786905,,,
2798,The Reader,,,,,,10-Dec-2008,32500000,34194407,78770468,112964875,80464875,,,
2799,1941,,,,,,14-Dec-1979,32000000,34175000,60700000,94875000,62875000,,,
2800,"Everything, Everything",,,,,,19-May-2017,10000000,34121140,27481996,61603136,51603136,,,
2801,Instinct,,,,,,04-Jun-1999,55000000,34105207,0,34105207,-20894793,,,
2802,The Best Man,,,,,,22-Oct-1999,9000000,34102780,470000,34572780,25572780,,,
2803,"Everything, Everything",2017,,,7.2,2447,19-May-2017,,34100000,27500000,61600000,61600000,WB,en,13.998
2804,My Dog Skip,,,,,,12-Jan-2000,7000000,34099640,1695679,35795319,28795319,,,
2805,The Wizard of Oz,,,,,,25-Aug-2039,2777000,34063405,242071,34305476,31528476,,,
2806,The DUFF,,,,,,20-Feb-2015,8500000,34030343,9498291,43528634,35028634,,,
2807,Snakes on a Plane,,,,,,18-Aug-2006,33000000,34020814,28000000,62020814,29020814,,,
2808,Death Wish,,,,,,02-Mar-2018,30000000,34017028,14558937,48575965,18575965,,,
2809,The DUFF,2015,,,6.8,2987,20-Feb-2015,,34000000,9500000,43500000,43500000,LGF,en,9.054
2810,Closer,,,,,,03-Dec-2004,35000000,33987757,82189938,116177695,81177695,,,
2811,The Relic,,,,,,10-Jan-1997,60000000,33956608,0,33956608,-26043392,,,
2812,She's the Man,,,,,,17-Mar-2006,25000000,33889159,21390449,55279608,30279608,,,
2813,Mickey Blue Eyes,,,,,,20-Aug-1999,40000000,33864342,20000000,53864342,13864342,,,
2814,All About Steve,,,,,,04-Sep-2009,15000000,33862903,6264356,40127259,25127259,,,
2815,Stuck On You,,,,,,12-Dec-2003,55000000,33832741,29704423,63537164,8537164,,,
2816,Wind River,2017,,,7.4,2437,04-Aug-2017,,33800000,,33800000,33800000,Wein.,en,14.908
2817,Where the Heart Is,,,,,,28-Apr-2000,15000000,33771174,7090880,40862054,25862054,,,
2818,Geostorm,,,,,,20-Oct-2017,100000000,33700160,187095849,220796009,120796009,,,
2819,The Gambler,2014,,,5.8,783,25-Dec-2014,,33700000,5600000,39300000,39300000,Par.,en,8.807
2820,Geostorm,2017,,,5.8,2246,20-Oct-2017,,33700000,187900000,221600000,221600000,WB,en,13.653
2821,Geostorm,2017,,,5.8,2246,20-Oct-2017,,33700000,187900000,221600000,221600000,WB,en,13.653
2822,Dreamcatcher,,,,,,21-Mar-2003,68000000,33685268,42000000,75685268,7685268,,,
2823,The Gambler,,,,,,10-Dec-2014,25000000,33680992,5037039,38718031,13718031,,,
2824,Devil,,,,,,17-Sep-2010,10000000,33679655,29674459,63354114,53354114,,,
2825,The Punisher,,,,,,16-Apr-2004,33000000,33664370,20869404,54533774,21533774,,,
2826,Marmaduke,,,,,,04-Jun-2010,50000000,33644788,56251142,89895930,39895930,,,
2827,R.I.P.D.,,,,,,19-Jul-2013,130000000,33618855,45457823,79076678,-50923322,,,
2828,Flags of Our Fathers,,,,,,20-Oct-2006,53000000,33602376,30055565,63657941,10657941,,,
2829,Marmaduke,2010,,,5.1,367,04-Jun-2010,,33600000,50100000,83700000,83700000,Fox,en,8.487
2830,R.I.P.D.,2013,,,5.6,2047,19-Jul-2013,,33600000,44700000,78300000,78300000,Uni.,en,21.377
2831,The Spy Who Dumped Me,2018,,,6.4,966,03-Aug-2018,,33600000,41800000,75400000,75400000,LGF,en,19.224
2832,Devil,2010,,,5.9,1516,17-Sep-2010,,33600000,29100000,62700000,62700000,Uni.,en,10.203
2833,The Constant Gardener,,,,,,31-Aug-2005,25500000,33579798,52721801,86301599,60801599,,,
2834,I Spy,,,,,,01-Nov-2002,70000000,33561137,26718685,60279822,-9720178,,,
2835,Pay it Forward,,,,,,20-Oct-2000,40000000,33508922,22187783,55696705,15696705,,,
2836,Semi-Pro,,,,,,29-Feb-2008,55000000,33479698,10500665,43980363,-11019637,,,
2837,Fireproof,,,,,,26-Sep-2008,500000,33456317,16980,33473297,32973297,,,
2838,The Long Kiss Goodnight,,,,,,11-Oct-1996,65000000,33447612,0,33447612,-31552388,,,
2839,Doubt,,,,,,12-Dec-2008,20000000,33446470,19744631,53191101,33191101,,,
2840,Street Fighter,,,,,,23-Dec-1994,35000000,33423000,66000000,99423000,64423000,,,
2841,Black Knight,,,,,,21-Nov-2001,35000000,33422806,0,33422806,-1577194,,,
2842,Blue Jasmine,,,,,,26-Jul-2013,18000000,33404871,69508090,102912961,84912961,,,
2843,Blue Jasmine,2013,,,7,1983,26-Jul-2013,,33400000,64099999,97499999,97499999,SPC,en,10.443
2844,Monster Trucks,2017,,,5.9,414,13-Jan-2017,,33400000,31100000,64500000,64500000,Par.,en,8.827
2845,Planet of the Apes,,,,,,08-Feb-2068,5800000,33395426,0,33395426,27595426,,,
2846,Rosemary's Baby,,,,,,12-Jun-2068,3200000,33395426,0,33395426,30195426,,,
2847,Halloween 2,,,,,,28-Aug-2009,15000000,33392973,5119877,38512850,23512850,,,
2848,Monster Trucks,,,,,,13-Jan-2017,125000000,33370166,28272632,61642798,-63357202,,,
2849,See Spot Run,,,,,,02-Mar-2001,16000000,33357476,9700076,43057552,27057552,,,
2850,2016: Obamaâs America,,,,,,13-Jul-2012,2500000,33349941,0,33349941,30849941,,,
2851,The Informant!,,,,,,18-Sep-2009,22000000,33316821,8454347,41771168,19771168,,,
2852,Woman in Gold,,,,,,01-Apr-2015,11000000,33307793,25278614,58586407,47586407,,,
2853,Mr. Beanâs Holiday,,,,,,24-Aug-2007,25000000,33302167,201679175,234981342,209981342,,,
2854,The Bridge on the River Kwai,,,,,,18-Dec-2057,3000000,33300000,0,33300000,30300000,,,
2855,Woman in Gold,2015,,,7.4,787,10-Apr-2015,,33299999,28300000,61599999,61599999,Wein.,en,7.76
2856,Friday After Next,,,,,,22-Nov-2002,10000000,33253609,273226,33526835,23526835,,,
2857,Child's Play,,,,,,09-Nov-1988,9000000,33244684,10952000,44196684,35196684,,,
2858,"Hello, Dolly",,,,,,16-Dec-2069,24000000,33208099,0,33208099,9208099,,,
2859,Le Fabuleux destin d'AmÃ©lie Poulain,,,,,,02-Nov-2001,10350000,33201661,141000000,174201661,163851661,,,
2860,Silverado,,,,,,10-Jul-1985,26000000,33200000,0,33200000,7200000,,,
2861,Striptease,,,,,,28-Jun-1996,50000000,33109743,80200000,113309743,63309743,,,
2862,The Second Best Exotic Marigold Hotel,2015,,,6.4,420,06-Mar-2015,,33100000,52900000,86000000,86000000,FoxS,en,7.731
2863,Zodiac,,,,,,02-Mar-2007,85000000,33080084,50000000,83080084,-1919916,,,
2864,The Second Best Exotic Marigold Hotel,,,,,,06-Mar-2015,10000000,33078266,57306040,90384306,80384306,,,
2865,The Rite,,,,,,28-Jan-2011,37000000,33047633,64096354,97143987,60143987,,,
2866,Arthur,,,,,,08-Apr-2011,40000000,33035397,14752546,47787943,7787943,,,
2867,Dreamer: Inspired by a True Story,,,,,,21-Oct-2005,32000000,33022286,6476074,39498360,7498360,,,
2868,Dracula 2000,,,,,,22-Dec-2000,28000000,33000377,0,33000377,5000377,,,
2869,The Rite,2011,,,5.9,994,28-Jan-2011,,33000000,63000000,96000000,96000000,WB (NL),en,9.676
2870,The Last Dragon,,,,,,22-Mar-1985,10000000,33000000,0,33000000,23000000,,,
2871,Mercury Rising,,,,,,03-Apr-1998,60000000,32983332,0,32983332,-27016668,,,
2872,Friday the 13th Part IV: The Final Chapter,,,,,,13-Apr-1984,2600000,32980880,0,32980880,30380880,,,
2873,Daylight,,,,,,06-Dec-1996,80000000,32908290,126000000,158908290,78908290,,,
2874,The Bad News Bears,,,,,,22-Jul-2005,35000000,32868349,632271,33500620,-1499380,,,
2875,Drillbit Taylor,,,,,,21-Mar-2008,40000000,32862104,16824159,49686263,9686263,,,
2876,Unfriended,,,,,,17-Apr-2015,1000000,32789645,31574553,64364198,63364198,,,
2877,Team America: World Police,,,,,,15-Oct-2004,20000000,32774834,18173977,50948811,30948811,,,
2878,The Last House on the Left,,,,,,13-Mar-2009,15000000,32752215,13774028,46526243,31526243,,,
2879,Hereafter,,,,,,15-Oct-2010,50000000,32746941,75913329,108660270,58660270,,,
2880,Annihilation,,,,,,23-Feb-2018,55000000,32732301,10338614,43070915,-11929085,,,
2881,When in Rome,2010,,,5.9,703,29-Jan-2010,,32700000,10400000,43100000,43100000,BV,en,9.926
2882,Hereafter,2010,,,5.9,848,22-Oct-2010,,32700000,72500000,105200000,105200000,WB,en,7.886
2883,The 13th Warrior,,,,,,27-Aug-1999,125000000,32698899,29000000,61698899,-63301101,,,
2884,Return to Me,,,,,,07-Apr-2000,24000000,32662299,0,32662299,8662299,,,
2885,Blade Runner,,,,,,25-Jun-1982,28000000,32656328,6686584,39342912,11342912,,,
2886,Coming Home,,,,,,01-Jan-1978,3000000,32653000,0,32653000,29653000,,,
2887,Because of Winn-Dixie,,,,,,18-Feb-2005,15000000,32647042,861443,33508485,18508485,,,
2888,Driven,,,,,,27-Apr-2001,72000000,32616869,22000000,54616869,-17383131,,,
2889,Proof of Life,,,,,,08-Dec-2000,65000000,32598931,30162074,62761005,-2238995,,,
2890,Bend it Like Beckham,,,,,,12-Mar-2003,5600000,32543449,42022593,74566042,68966042,,,
2891,Darkness Falls,,,,,,24-Jan-2003,7000000,32539681,14750077,47289758,40289758,,,
2892,Almost Famous,,,,,,15-Sep-2000,60000000,32522352,14848839,47371191,-12628809,,,
2893,The Pianist,,,,,,27-Dec-2002,35000000,32519322,79334860,111854182,76854182,,,
2894,Paranormal Activity: The Marked Ones,2014,,,5.3,752,03-Jan-2014,,32500000,58400000,90900000,90900000,Par.,en,9.446
2895,Unfriended,2015,,,5.4,2019,17-Apr-2015,,32500000,31600000,64100000,64100000,Uni.,en,8.12
2896,Mother's Day,2016,,,6.4,193,23-Sep-2010,,32500000,15900000,48400000,48400000,ORF,en,9.496
2897,Mother's Day,2016,,,5.9,782,29-Apr-2016,,32500000,15900000,48400000,48400000,ORF,en,6.822
2898,Motherâs Day,,,,,,29-Apr-2016,25000000,32492859,19874163,52367022,27367022,,,
2899,Paranormal Activity: The Marked Ones,,,,,,03-Jan-2014,5000000,32462372,58442482,90904854,85904854,,,
2900,The Men Who Stare at Goats,,,,,,06-Nov-2009,24000000,32428195,34920023,67348218,43348218,,,
2901,(500) Days of Summer,,,,,,17-Jul-2009,7500000,32425665,2013395,34439060,26939060,,,
2902,Bride of Chucky,,,,,,16-Oct-1998,25000000,32404188,18288000,50692188,25692188,,,
2903,Entourage,2015,,,6.2,647,03-Jun-2015,,32400000,16900000,49300000,49300000,WB,en,13.802
2904,Nightcrawler,2014,,,7.7,5860,31-Oct-2014,,32400000,6300000,38700000,38700000,ORF,en,25.597
2905,Nightcrawler,,,,,,31-Oct-2014,8500000,32381218,17953200,50334418,41834418,,,
2906,Love and Other Drugs,,,,,,24-Nov-2010,30000000,32367005,70349316,102716321,72716321,,,
2907,Entourage,,,,,,03-Jun-2015,30000000,32363404,14075134,46438538,16438538,,,
2908,Rumble in the Bronx,,,,,,23-Feb-1996,7500000,32281907,3956845,36238752,28738752,,,
2909,What's the Worst That Could Happen?,,,,,,01-Jun-2001,30000000,32267774,6194297,38462071,8462071,,,
2910,Kevin Hart: Let Me Explain,,,,,,03-Jul-2013,2500000,32244051,83204,32327255,29827255,,,
2911,"Definitely, Maybe",,,,,,14-Feb-2008,7000000,32241649,23376217,55617866,48617866,,,
2912,The Love Guru,,,,,,20-Jun-2008,62000000,32235793,7923224,40159017,-21840983,,,
2913,The Lost Boys,,,,,,31-Jul-1987,8500000,32222567,0,32222567,23722567,,,
2914,Fist Fight,2017,,,6,708,17-Feb-2017,,32200000,8900000,41100000,41100000,WB (NL),en,9.808
2915,Kevin Hart: Let Me Explain,2013,,,6.9,142,03-Jul-2013,,32200000,74000,32274000,32274000,LG/S,en,8.476
2916,Fist Fight,,,,,,17-Feb-2017,25000000,32187017,8099399,40286416,15286416,,,
2917,Side Effects,,,,,,08-Feb-2013,30000000,32172757,34569381,66742138,36742138,,,
2918,How to Be a Latin Lover,,,,,,28-Apr-2017,10000000,32149404,30406824,62556228,52556228,,,
2919,Cold Pursuit,,,,,,08-Feb-2019,60000000,32138862,30460297,62599159,2599159,,,
2920,Final Fantasy: The Spirits Within,,,,,,11-Jul-2001,137000000,32131830,53000000,85131830,-51868170,,,
2921,Analyze That,,,,,,06-Dec-2002,60000000,32122249,22872508,54994757,-5005243,,,
2922,Stealth,,,,,,29-Jul-2005,138000000,32116746,44300000,76416746,-61583254,,,
2923,The Lawnmower Man,,,,,,06-Mar-1992,10000000,32100816,0,32100816,22100816,,,
2924,House of Wax,,,,,,06-May-2005,35000000,32064800,38000000,70064800,35064800,,,
2925,Copycat,,,,,,27-Oct-1995,20000000,32051917,0,32051917,12051917,,,
2926,Scary Movie V,,,,,,12-Apr-2013,20000000,32015787,46598194,78613981,58613981,,,
2927,The Age of Innocence,,,,,,17-Sep-1993,34000000,32014993,0,32014993,-1985007,,,
2928,Earth,,,,,,22-Apr-2009,47000000,32011576,84761741,116773317,69773317,,,
2929,She's Out of My League,,,,,,12-Mar-2010,20000000,32010860,16670117,48680977,28680977,,,
2930,Cellular,,,,,,10-Sep-2004,45000000,32003620,29472364,61475984,16475984,,,
2931,Paper Towns,,,,,,24-Jul-2015,12000000,32000304,53450180,85450484,73450484,,,
2932,Paper Towns,2015,,,6,3587,24-Jul-2015,,32000000,53500000,85500000,85500000,Fox,en,11.564
2933,Scary Movie 5,2013,,,4.7,1494,12-Apr-2013,,32000000,46400000,78400000,78400000,W/Dim.,en,16.316
